filename,width,height,class,xmin,ymin,xmax,ymax
IMG_20191209_095617.jpg,640.0,640.0,two,335.91,451.46,376.14,491.70
IMG_20191209_095617.jpg,640.0,640.0,three,395.32,322.92,435.09,362.69
IMG_20191209_095617.jpg,640.0,640.0,three,235.79,320.47,272.75,357.43
IMG_20191209_095617.jpg,640.0,640.0,four,335.91,249.01,376.84,289.94
IMG_20191209_095617.jpg,640.0,640.0,five,369.12,382.46,410.29,423.63
IMG_20191208_111953.jpg,640.0,640.0,six,119.30,137.08,172.16,189.94
IMG_20191208_111953.jpg,640.0,640.0,six,219.65,361.29,259.65,401.29
IMG_20191208_111953.jpg,640.0,640.0,five,365.15,250.76,400.70,286.32
IMG_20191208_111953.jpg,640.0,640.0,five,198.13,441.87,246.08,489.82
IMG_20191208_111953.jpg,640.0,640.0,four,368.19,296.84,407.95,336.61
IMG_20191208_111953.jpg,640.0,640.0,two,282.10,148.54,333.33,199.77
IMG_20191208_111953.jpg,640.0,640.0,one,264.09,212.75,298.71,247.37
IMG_20191208_112455.jpg,640.0,640.0,six,475.32,223.98,507.84,256.49
IMG_20191208_112455.jpg,640.0,640.0,five,410.53,340.58,437.66,367.72
IMG_20191208_112455.jpg,640.0,640.0,two,396.96,310.76,424.09,337.90
IMG_20191208_112455.jpg,640.0,640.0,one,347.13,264.09,380.35,297.31
IMG_20191208_112455.jpg,640.0,640.0,one,332.87,118.48,364.44,150.06
IMG_20191208_111710.jpg,640.0,640.0,six,414.27,229.71,454.97,270.41
IMG_20191208_111710.jpg,640.0,640.0,six,473.22,365.26,519.06,411.11
IMG_20191208_111710.jpg,640.0,640.0,six,368.19,338.71,408.89,379.42
IMG_20191208_111710.jpg,640.0,640.0,five,241.40,342.81,295.91,397.31
IMG_20191208_111710.jpg,640.0,640.0,five,313.22,280.58,357.66,325.03
IMG_20191208_111710.jpg,640.0,640.0,four,221.05,215.32,267.84,262.11
IMG_20191208_111710.jpg,640.0,640.0,three,424.80,351.23,469.24,395.67
IMG_20191208_111710.jpg,640.0,640.0,two,353.22,425.97,399.06,471.81
IMG_20191208_111710.jpg,640.0,640.0,two,326.78,320.58,360.00,353.80
IMG_20191208_111710.jpg,640.0,640.0,two,347.13,212.98,377.31,243.16
IMG_20191208_111710.jpg,640.0,640.0,two,259.65,251.58,299.65,291.58
IMG_20191208_111710.jpg,640.0,640.0,one,313.92,218.83,355.32,260.23
IMG_20191208_111710.jpg,640.0,640.0,one,355.32,376.84,390.88,412.40
IMG_20191208_111710.jpg,640.0,640.0,one,98.95,297.66,147.13,345.85
IMG_20191208_112109.jpg,640.0,640.0,five,303.86,185.03,343.39,224.56
IMG_20191208_112109.jpg,640.0,640.0,five,388.54,271.93,427.60,310.99
IMG_20191208_112109.jpg,640.0,640.0,five,268.54,316.37,307.13,354.97
IMG_20191208_112109.jpg,640.0,640.0,four,313.22,296.02,346.43,329.24
IMG_20191208_112109.jpg,640.0,640.0,four,348.30,256.37,386.43,294.50
IMG_20191208_112109.jpg,640.0,640.0,two,451.23,301.29,500.12,350.18
IMG_20191208_112109.jpg,640.0,640.0,two,358.36,364.68,408.89,415.20
IMG_20191209_095854.jpg,640.0,640.0,two,238.60,275.09,277.66,314.15
IMG_20191209_095854.jpg,640.0,640.0,two,216.84,142.34,259.18,184.68
IMG_20191209_095854.jpg,640.0,640.0,three,152.28,251.34,196.26,295.32
IMG_20191209_095854.jpg,640.0,640.0,three,143.63,390.99,184.80,432.16
IMG_20191209_095854.jpg,640.0,640.0,four,273.45,287.25,306.67,320.47
IMG_20191209_095854.jpg,640.0,640.0,five,263.63,480.47,305.26,522.10
IMG_20191209_095854.jpg,640.0,640.0,six,164.91,224.80,204.68,264.56
IMG_20191209_100535.jpg,640.0,640.0,one,274.85,433.22,325.15,483.51
IMG_20191209_100535.jpg,640.0,640.0,one,343.63,490.18,390.41,536.96
IMG_20191209_100625.jpg,640.0,640.0,one,464.09,393.10,511.58,440.58
IMG_20191209_100625.jpg,640.0,640.0,two,415.91,293.57,471.81,349.47
IMG_20191209_100625.jpg,640.0,640.0,three,228.07,311.70,271.34,354.97
IMG_20191209_100625.jpg,640.0,640.0,three,291.93,394.27,328.66,430.99
IMG_20191208_112256.jpg,640.0,640.0,six,201.40,347.02,239.30,384.91
IMG_20191208_112256.jpg,640.0,640.0,six,384.80,265.50,418.01,298.71
IMG_20191208_112256.jpg,640.0,640.0,five,306.43,224.33,340.35,258.25
IMG_20191208_112256.jpg,640.0,640.0,five,461.75,242.92,495.67,276.84
IMG_20191208_112256.jpg,640.0,640.0,five,344.09,372.63,374.27,402.81
IMG_20191208_112256.jpg,640.0,640.0,three,344.09,249.01,381.05,285.97
IMG_20191208_112256.jpg,640.0,640.0,two,203.74,187.49,245.15,228.89
IMG_20191208_112256.jpg,640.0,640.0,two,383.39,219.18,421.05,256.84
IMG_20191208_112256.jpg,640.0,640.0,two,319.30,271.23,351.58,303.51
IMG_20191208_112256.jpg,640.0,640.0,one,258.71,110.06,301.05,152.40
IMG_20191208_112256.jpg,640.0,640.0,one,112.51,161.40,150.88,199.77
IMG_20191209_100645.jpg,640.0,640.0,one,199.06,184.09,254.27,239.30
IMG_20191209_100645.jpg,640.0,640.0,two,283.27,487.72,332.16,536.61
IMG_20191209_100645.jpg,640.0,640.0,two,95.44,397.31,145.03,446.90
IMG_20191209_100645.jpg,640.0,640.0,three,353.45,291.81,402.34,340.70
IMG_20191209_100645.jpg,640.0,640.0,four,284.68,370.06,326.55,411.93
IMG_20191209_100645.jpg,640.0,640.0,five,155.79,285.73,203.98,333.92
IMG_20191208_112905.jpg,640.0,640.0,one,283.04,390.88,311.58,419.42
IMG_20191208_112905.jpg,640.0,640.0,two,416.61,352.75,445.15,381.29
IMG_20191208_112905.jpg,640.0,640.0,six,383.39,294.15,419.65,330.41
IMG_20191208_111947.jpg,640.0,640.0,six,287.49,103.39,331.23,147.13
IMG_20191208_111947.jpg,640.0,640.0,four,406.78,220.12,443.04,256.37
IMG_20191208_111947.jpg,640.0,640.0,four,242.34,402.46,279.30,439.42
IMG_20191208_111947.jpg,640.0,640.0,one,484.44,194.62,525.85,236.02
IMG_20191208_111947.jpg,640.0,640.0,one,79.06,364.56,136.61,422.10
IMG_20191208_111947.jpg,640.0,640.0,one,283.74,314.27,326.55,357.08
IMG_20191208_111947.jpg,640.0,640.0,two,356.96,343.27,397.66,383.98
IMG_20191208_111446.jpg,640.0,640.0,one,375.67,133.33,406.78,164.44
IMG_20191208_111446.jpg,640.0,640.0,one,473.22,193.10,510.88,230.76
IMG_20191208_111446.jpg,640.0,640.0,two,306.43,234.97,347.13,275.67
IMG_20191208_111446.jpg,640.0,640.0,two,273.92,360.58,306.43,393.10
IMG_20191208_111446.jpg,640.0,640.0,two,251.23,446.67,291.93,487.37
IMG_20191208_111446.jpg,640.0,640.0,two,516.96,414.97,561.40,459.42
IMG_20191208_111446.jpg,640.0,640.0,two,498.01,308.07,543.39,353.45
IMG_20191208_111446.jpg,640.0,640.0,two,515.32,191.58,562.11,238.36
